fuente,dia,miembros_ok,miembros_rotos,huecos_cero,bytes_basura,legibles,fin,curated,perdida_reproc,recuperables,huerfanos_cur,cruce_particion
renfe_cercanias,2026-08-17,2822,0,0,0,2822,EOF,2227,0,0,0,0
renfe_cercanias,2026-08-18,1097,0,0,0,1097,EOF,660,0,0,0,0
renfe_cercanias,2026-08-19,2283,0,0,0,2283,EOF,1632,0,0,0,0
renfe_cercanias,2026-08-20,2823,0,0,0,2823,EOF,2222,0,0,0,0
renfe_cercanias,2026-08-21,1587,0,1,0,1587,EOF,1091,0,0,0,0
renfe_cercanias,2026-08-22,2803,0,1,0,2803,EOF,2129,0,0,0,0
renfe_cercanias,2026-08-23,2773,0,0,0,2773,EOF,2183,0,0,0,0
renfe_cercanias,2026-08-24,2770,0,1,0,2770,EOF,2098,0,0,0,0
renfe_cercanias,2026-08-25,2853,0,0,0,2853,EOF,2234,0,0,0,0
renfe_cercanias,2026-08-26,2837,0,0,0,2837,EOF,2245,0,0,0,0
renfe_cercanias,2026-08-27,2822,0,0,0,2822,EOF,2103,0,0,0,0
renfe_cercanias,2026-08-28,2116,0,0,0,2116,EOF,1522,0,0,0,0
renfe_cercanias,2026-08-29,2832,0,0,0,2832,EOF,2209,0,0,0,0
renfe_cercanias,2026-08-30,2857,0,0,0,2857,EOF,2202,0,0,0,0
renfe_cercanias,2026-08-31,1977,0,0,0,1977,EOF,1588,0,0,0,0
